timestamp,scenario,quality,hot_blast_temperature_c,hot_blast_flow_nm3_min,blast_pressure_bar,differential_pressure_bar,pci_rate_kg_thm,oxygen_enrichment_pct,top_gas_temperature_c,top_gas_co_pct,top_gas_co2_pct,stockline_m,cooling_water_delta_t_c,hot_metal_temperature_c,hot_metal_silicon_pct,gas_utilisation,permeability_index,advisory_state
2026-06-01 00:00:00,stable,GOOD,1155.24,4090.26,3.825,1.375,155.04,3.031,137.79,22.873,20.496,1.811,7.396,1485.26,0.49,0.4726,0.3594,STABLE
2026-06-01 00:01:00,stable,GOOD,1163.3,4101.34,3.874,1.355,155.6,3.013,133.95,22.764,20.575,1.81,7.507,1489.04,0.518,0.4747,0.3497,STABLE
2026-06-01 00:02:00,stable,GOOD,1161.56,4086.92,3.846,1.36,156.24,2.995,136.77,22.863,20.395,1.795,7.628,1488.13,0.492,0.4715,0.3537,STABLE
2026-06-01 00:03:00,stable,GOOD,1164.76,4124.14,3.835,1.392,155.42,3.053,131.66,23.043,20.492,1.834,7.533,1488.27,0.516,0.4707,0.3631,STABLE
2026-06-01 00:04:00,stable,GOOD,1165.47,4064.48,3.839,1.347,156.1,3.001,135.89,23.248,20.632,1.837,7.557,1493.87,0.524,0.4702,0.3507,STABLE
2026-06-01 00:05:00,stable,GOOD,1156.84,4141.46,3.857,1.321,155.6,3.025,134.72,23.105,20.336,1.808,7.637,1490.31,0.543,0.4681,0.3426,STABLE
2026-06-01 00:06:00,stable,GOOD,1160.7,4138.82,3.863,1.346,153.97,2.986,135.51,22.995,20.492,1.785,7.779,1487.71,0.505,0.4712,0.3484,STABLE
2026-06-01 00:07:00,stable,GOOD,1164.86,4093.93,3.857,1.347,155.96,2.992,134.9,23.257,20.502,1.802,7.692,1486.88,0.506,0.4685,0.3492,STABLE
2026-06-01 00:08:00,stable,GOOD,1161.36,4129.57,3.865,1.374,156.09,2.998,134.91,23.237,20.427,1.846,7.583,1489.54,0.548,0.4678,0.3554,STABLE
2026-06-01 00:09:00,stable,GOOD,1162.48,4127.63,3.851,1.366,155.94,2.987,135.71,23.154,20.49,1.821,7.46,1491.5,0.514,0.4695,0.3547,STABLE
2026-06-01 00:10:00,stable,GOOD,1155.18,4123.72,3.852,1.357,155.83,2.98,134.41,23.161,20.434,1.806,7.387,1491.08,0.545,0.4687,0.3523,STABLE
2026-06-01 00:11:00,stable,GOOD,1159.01,4077.86,3.861,1.373,155.94,3.002,136.98,23.292,20.591,1.821,7.329,1488.21,0.511,0.4692,0.3556,STABLE
2026-06-01 00:12:00,stable,GOOD,1162.07,4112.32,3.852,1.324,157.27,3.039,136.86,23.098,20.373,1.879,7.579,1488.42,0.519,0.4687,0.3436,STABLE
2026-06-01 00:13:00,stable,GOOD,1164.88,4126.83,3.89,1.37,157.5,3.054,136.07,22.867,20.328,1.803,7.474,1488.87,0.516,0.4706,0.3521,STABLE
2026-06-01 00:14:00,stable,GOOD,1161.19,4108.01,3.854,1.361,156.4,3.038,134.45,23.208,20.236,1.862,7.562,1488.62,0.526,0.4658,0.3532,STABLE
2026-06-01 00:15:00,stable,GOOD,1162.1,4092.04,3.909,1.371,156.59,3.068,137.9,23.173,20.584,1.853,7.529,1490.31,0.538,0.4704,0.3507,STABLE
2026-06-01 00:16:00,stable,GOOD,1162.0,4107.32,3.86,1.34,155.65,3.028,136.63,23.066,20.168,1.862,7.495,1487.81,0.518,0.4665,0.3471,STABLE
2026-06-01 00:17:00,stable,GOOD,1159.92,4135.7,3.885,1.355,156.27,3.029,136.78,23.35,20.249,1.778,7.605,1490.23,0.509,0.4644,0.3488,STABLE
2026-06-01 00:18:00,stable,GOOD,1164.85,4119.97,3.904,1.378,155.5,3.029,137.57,23.198,20.207,1.842,7.476,1488.37,0.512,0.4655,0.3531,STABLE
2026-06-01 00:19:00,stable,GOOD,1158.55,4123.48,3.882,1.361,157.46,3.034,135.15,23.348,20.248,1.836,7.392,1489.85,0.541,0.4644,0.3506,STABLE
2026-06-01 00:20:00,stable,GOOD,1158.79,4137.72,3.888,1.353,155.89,3.031,135.6,23.192,20.441,1.856,7.556,1488.9,0.516,0.4685,0.348,STABLE
2026-06-01 00:21:00,stable,GOOD,1164.63,4158.07,3.863,1.367,155.49,3.055,132.14,23.355,20.32,1.829,7.697,1487.52,0.513,0.4653,0.3539,STABLE
2026-06-01 00:22:00,stable,GOOD,1159.1,4150.76,3.901,1.392,156.34,3.004,135.27,23.332,20.202,1.848,7.678,1491.37,0.528,0.464,0.3569,STABLE
2026-06-01 00:23:00,stable,GOOD,1167.63,4101.84,3.856,1.406,158.16,3.021,137.21,23.222,20.446,1.87,7.531,1487.64,0.519,0.4682,0.3646,STABLE
2026-06-01 00:24:00,stable,GOOD,1164.84,4097.83,3.933,1.361,155.54,3.041,136.25,23.538,20.431,1.846,7.683,1492.53,0.544,0.4647,0.346,STABLE
2026-06-01 00:25:00,stable,GOOD,1168.74,4132.97,3.896,1.377,158.19,3.012,133.14,23.251,20.2,1.858,7.628,1491.52,0.528,0.4649,0.3534,STABLE
2026-06-01 00:26:00,stable,GOOD,1169.01,4134.84,3.892,1.376,155.91,3.024,135.18,23.268,20.488,1.884,7.744,1489.24,0.53,0.4682,0.3536,STABLE
2026-06-01 00:27:00,stable,GOOD,1164.57,4146.78,3.882,1.383,157.21,3.049,137.01,23.276,20.475,1.847,7.539,1486.39,0.515,0.468,0.3564,STABLE
2026-06-01 00:28:00,stable,GOOD,1163.1,4102.4,3.939,1.38,156.75,2.992,135.98,23.288,20.386,1.842,7.531,1485.02,0.509,0.4668,0.3504,STABLE
2026-06-01 00:29:00,stable,GOOD,1168.85,4105.54,3.887,1.379,157.01,2.971,135.63,23.448,20.403,1.862,7.597,1491.92,0.531,0.4653,0.3548,STABLE
2026-06-01 00:30:00,stable,GOOD,1166.76,4122.43,3.892,1.366,156.14,2.994,134.89,23.436,20.228,1.861,7.328,1487.18,0.53,0.4633,0.3508,STABLE
2026-06-01 00:31:00,stable,GOOD,1168.03,4128.77,3.891,1.363,155.95,3.032,135.98,23.583,20.378,1.882,7.535,1489.86,0.524,0.4636,0.3503,STABLE
2026-06-01 00:32:00,stable,GOOD,1166.07,4134.32,3.894,1.384,158.77,3.025,136.18,23.26,20.341,1.795,7.48,1490.88,0.535,0.4665,0.3555,STABLE
2026-06-01 00:33:00,stable,GOOD,1165.83,4127.33,3.898,1.353,155.86,3.018,137.25,23.405,20.126,1.866,7.694,1486.75,0.553,0.4623,0.3471,STABLE
2026-06-01 00:34:00,stable,GOOD,1163.21,4132.12,3.908,1.394,158.38,3.069,135.96,23.247,20.247,1.858,7.342,1492.27,0.546,0.4655,0.3567,STABLE
2026-06-01 00:35:00,stable,GOOD,1164.65,4208.76,3.871,1.39,158.96,3.04,137.87,23.421,20.266,1.821,7.583,1491.8,0.529,0.4639,0.359,STABLE
2026-06-01 00:36:00,stable,GOOD,1169.07,4152.33,3.906,1.378,155.68,2.997,134.51,23.527,20.079,1.885,7.603,1493.96,0.543,0.4605,0.3529,STABLE
2026-06-01 00:37:00,stable,GOOD,1162.8,4167.8,3.915,1.344,157.42,3.016,133.8,23.391,19.987,1.874,7.66,1488.75,0.532,0.4608,0.3433,STABLE
2026-06-01 00:38:00,stable,GOOD,1161.11,4160.88,3.916,1.387,155.71,3.017,136.58,23.568,20.166,1.859,7.565,1486.41,0.527,0.4611,0.3542,STABLE
2026-06-01 00:39:00,stable,GOOD,1174.37,4155.03,3.91,1.361,159.59,2.995,137.02,23.536,20.083,1.87,7.516,1491.93,0.532,0.4604,0.348,STABLE
2026-06-01 00:40:00,stable,GOOD,1164.51,4158.66,3.923,1.363,156.58,3.018,138.06,23.257,20.006,1.873,7.602,1492.23,0.538,0.4624,0.3475,STABLE
2026-06-01 00:41:00,stable,GOOD,1165.44,4143.05,3.952,1.366,160.49,3.068,138.53,23.555,20.397,1.878,7.335,1489.35,0.517,0.4641,0.3458,STABLE
2026-06-01 00:42:00,stable,GOOD,1173.54,4138.93,3.893,1.365,157.59,3.025,135.35,23.648,20.148,1.877,7.669,1489.23,0.528,0.46,0.3506,STABLE
2026-06-01 00:43:00,stable,GOOD,1161.96,4171.17,3.901,1.339,158.28,3.012,134.44,23.374,20.096,1.874,7.642,1488.36,0.517,0.4623,0.3432,STABLE
2026-06-01 00:44:00,stable,GOOD,1165.64,4133.59,3.902,1.363,159.93,3.061,136.61,23.589,20.173,1.889,7.595,1487.86,0.534,0.461,0.3492,STABLE
2026-06-01 00:45:00,stable,GOOD,1164.93,4142.65,3.907,1.366,159.05,3.031,134.85,23.72,20.143,1.896,7.468,1490.53,0.548,0.4592,0.3496,STABLE
2026-06-01 00:46:00,stable,GOOD,1164.1,4158.3,3.908,1.367,159.85,3.027,137.5,23.426,20.196,1.849,7.581,1491.14,0.539,0.463,0.3498,STABLE
2026-06-01 00:47:00,stable,GOOD,1163.88,4127.28,3.929,1.397,157.75,3.03,136.16,23.705,20.038,1.937,7.382,1486.94,0.538,0.4581,0.3555,STABLE
2026-06-01 00:48:00,stable,GOOD,1167.77,4157.5,3.916,1.389,157.88,3.029,136.2,23.561,20.235,1.913,7.602,1492.1,0.523,0.462,0.3547,STABLE
2026-06-01 00:49:00,stable,GOOD,1158.61,4169.42,3.898,1.353,159.59,3.02,136.92,23.45,20.05,1.836,7.655,1490.85,0.534,0.4609,0.3471,STABLE
2026-06-01 00:50:00,stable,GOOD,1164.22,4156.94,3.959,1.383,158.15,3.064,136.14,23.506,20.122,1.853,7.75,1491.03,0.533,0.4612,0.3492,STABLE
2026-06-01 00:51:00,stable,GOOD,1165.17,4179.2,3.94,1.381,158.08,3.062,137.18,23.607,20.247,1.89,7.732,1491.98,0.55,0.4617,0.3506,STABLE
2026-06-01 00:52:00,stable,GOOD,1161.99,4119.09,3.965,1.351,162.12,2.993,139.09,23.337,19.933,1.911,7.712,1492.28,0.516,0.4607,0.3406,STABLE
2026-06-01 00:53:00,stable,GOOD,1167.33,4167.5,3.94,1.357,159.21,3.049,137.21,23.736,19.842,1.892,7.474,1490.08,0.546,0.4553,0.3444,STABLE
2026-06-01 00:54:00,stable,GOOD,1167.34,4207.29,3.929,1.385,159.24,3.012,136.34,23.587,20.067,1.896,7.477,1488.26,0.542,0.4597,0.3526,STABLE
2026-06-01 00:55:00,stable,GOOD,1166.37,4170.76,3.954,1.389,159.16,3.053,137.28,23.778,20.357,1.879,7.564,1487.8,0.527,0.4612,0.3514,STABLE
2026-06-01 00:56:00,stable,GOOD,1172.23,4195.09,3.893,1.387,160.22,3.062,137.42,23.78,19.81,1.895,7.505,1489.8,0.53,0.4545,0.3563,STABLE
2026-06-01 00:57:00,stable,GOOD,1170.44,4181.11,3.912,1.388,158.27,3.079,139.12,23.689,19.761,1.898,7.655,1491.26,0.546,0.4548,0.3549,STABLE
2026-06-01 00:58:00,stable,GOOD,1166.76,4157.08,3.909,1.367,157.79,3.05,138.04,23.585,20.041,1.919,7.668,1491.04,0.541,0.4594,0.3497,STABLE
2026-06-01 00:59:00,stable,GOOD,1166.49,4163.7,3.934,1.404,157.58,3.0,138.66,23.603,19.965,1.917,7.639,1491.72,0.541,0.4582,0.357,STABLE
2026-06-01 01:00:00,stable,GOOD,1169.83,4141.55,3.929,1.358,158.3,3.034,136.24,23.715,19.996,1.911,7.747,1488.4,0.512,0.4575,0.3456,STABLE
2026-06-01 01:01:00,stable,GOOD,1168.98,4238.62,3.916,1.369,158.66,3.003,135.41,23.63,20.069,1.909,7.404,1487.71,0.549,0.4593,0.3497,STABLE
2026-06-01 01:02:00,stable,GOOD,1171.97,4168.51,3.943,1.371,158.61,3.026,133.56,23.561,20.023,1.908,7.357,1489.82,0.54,0.4594,0.3478,STABLE
2026-06-01 01:03:00,stable,GOOD,1168.49,4195.58,3.921,1.401,157.09,3.038,135.72,23.658,20.166,1.888,7.669,1489.89,0.52,0.4602,0.3574,STABLE
2026-06-01 01:04:00,stable,GOOD,1167.01,4182.98,3.886,1.381,158.7,3.054,136.66,23.525,19.984,1.922,7.414,1488.9,0.529,0.4593,0.3554,STABLE
2026-06-01 01:05:00,stable,GOOD,1171.53,4161.53,3.948,1.343,158.13,3.052,139.54,23.642,19.773,1.898,7.504,1489.5,0.54,0.4554,0.3402,STABLE
2026-06-01 01:06:00,stable,GOOD,1169.28,4220.28,3.937,1.366,158.8,3.045,138.38,23.699,20.06,1.93,7.587,1493.49,0.561,0.4584,0.3469,STABLE
2026-06-01 01:07:00,stable,GOOD,1166.23,4211.24,3.939,1.409,156.68,3.041,133.99,23.622,19.931,1.926,7.497,1490.98,0.553,0.4576,0.3578,STABLE
2026-06-01 01:08:00,stable,GOOD,1170.17,4173.83,3.941,1.386,158.46,3.036,137.94,23.535,20.17,1.904,7.615,1486.79,0.515,0.4615,0.3518,STABLE
